"log_s"
"I0506 15:59:54.742704       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1beta1/clusterrolebindings/system:kube-proxy: (2.669773ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.756479       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1beta1/namespaces/kube-system/roles/kubernetes-dashboard-minimal: (2.757178ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.757191       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1beta1/namespaces/kube-system/roles/kubernetes-dashboard-minimal: (2.720075ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.765388       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1beta1/namespaces/kube-system/rolebindings/kubernetes-dashboard-minimal: (3.121301ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.766028       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1beta1/namespaces/kube-system/rolebindings/kubernetes-dashboard-minimal: (3.701539ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.775956       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1/clusterrolebindings/system:aks-client-nodes: (2.515362ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.778697       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1/clusterrolebindings/system:aks-client-nodes: (5.341344ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.786680       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1/clusterrolebindings/system:aks-client-node-proxier: (8.230931ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.787068       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1/clusterrolebindings/system:aks-client-node-proxier: (5.983686ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.816283       1 wrap.go:47] GET /apis/scheduling.k8s.io/v1beta1/priorityclasses/high-priority: (3.394019ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.824442       1 wrap.go:47] GET /apis/scheduling.k8s.io/v1beta1/priorityclasses/high-priority: (6.328508ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.824476       1 wrap.go:47] PATCH /apis/scheduling.k8s.io/v1beta1/priorityclasses/high-priority: (6.940547ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.830138       1 wrap.go:47] GET /apis/scheduling.k8s.io/v1beta1/priorityclasses/addon-priority: (3.241309ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.836090       1 wrap.go:47] PATCH /apis/scheduling.k8s.io/v1beta1/priorityclasses/high-priority: (7.572288ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.837427       1 wrap.go:47] PATCH /apis/scheduling.k8s.io/v1beta1/priorityclasses/addon-priority: (6.144396ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.841620       1 wrap.go:47] GET /apis/scheduling.k8s.io/v1beta1/priorityclasses/addon-priority: (3.330414ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
"I0506 15:59:54.843035       1 wrap.go:47] GET /apis/rbac.authorization.k8s.io/v1/clusterrolebindings/system:discovery: (2.761078ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.847987       1 wrap.go:47] GET /api/v1/namespaces/kube-system/serviceaccounts/tunnelfront: (2.707574ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.7.42:45448]
"
"I0506 15:59:54.848525       1 wrap.go:47] PATCH /apis/scheduling.k8s.io/v1beta1/priorityclasses/addon-priority: (5.869678ms) 200 [kubectl/v1.13.2 (linux/amd64) kubernetes/cff46ab 172.31.9.31:46074]
"
